,incident_date,state,city_or_county,address,killed,injured
187,April 10 2023,Kentucky,Louisville,333 E Main St,5,5.0
188,April 9 2023,Florida,Orlando,5344 Lescot Ln,3,2.0
190,April 7 2023,South Carolina,Isle Of Palms,1140 Ocean Blvd,0,5.0
192,April 6 2023,Pennsylvania,Philadelphia,3700 block of N Carlisle St,0,4.0
193,April 5 2023,Virginia,Virginia Beach,700 block of Lake Edward Dr,0,4.0
194,April 4 2023,Pennsylvania,Philadelphia,3400 block of Rorer St,1,4.0
198,April 2 2023,District of Columbia,Washington,2900 block of Martin Luther King Jr Ave SE,0,4.0
200,April 2 2023,North Carolina,Fayetteville,5044 Yadkin Rd,1,4.0
205,March 26 2023,Pennsylvania,Philadelphia,1900 block of N 19th St,2,2.0
206,March 26 2023,Minnesota,Minneapolis,5601 Brooklyn Blvd,0,6.0
207,March 26 2023,Arkansas,Little Rock,3002 Washington St,2,5.0
211,March 25 2023,Louisiana,Shreveport,200 block of Texas St,1,5.0
218,March 18 2023,Ohio,Columbus,1570 S. High St,2,4.0
219,March 18 2023,Illinois,Chicago,2425 E 72nd St,0,4.0
220,March 18 2023,Texas,Dallas,Gannon Ln and S Westmoreland Rd,0,4.0
222,March 14 2023,Alabama,Birmingham,8400 block of 8th Ave S,4,0.0
224,March 12 2023,Texas,Laredo,4800 block of Roque Loop,0,14.0
225,March 12 2023,Texas,Dallas,3626 Villaverde Ave,4,0.0
226,March 11 2023,New York,Brooklyn,E 45th St and Snyder Ave,1,3.0
228,March 10 2023,Florida,Hialeah,14811 NW 87th Ct,4,0.0
231,March 6 2023,California,Sacramento,2200 block of Rogue River Dr,3,1.0
235,March 5 2023,Florida,Lake City,NW Alma Ave,0,4.0
237,March 4 2023,California,Los Angeles,E 76th Place and S Main St,0,4.0
238,March 4 2023,Georgia,Douglasville,3377 Talkeetna Rd,2,7.0
239,March 4 2023,Missouri,Cape Girardeau,15 N Main St,0,5.0
240,March 4 2023,California,San Pedro,Paseo Del Mar and Graysby Ave,0,4.0
242,February 27 2023,Tennessee,Memphis,W Essex Ave and Arkansas St,2,2.0
243,February 27 2023,Ohio,New Richmond,1195 Riebel Ridge,3,1.0
247,February 25 2023,Minnesota,Saint Paul,500 Dale St N,2,3.0
249,February 24 2023,Louisiana,Abbeville,1616 Veterans Memorial Dr,0,4.0
251,February 22 2023,Florida,Orlando,6100 block of Hialeah St,3,2.0
252,February 21 2023,Colorado,Colorado Springs,3945 Palmer Park Blvd,0,5.0
254,February 19 2023,Indiana,Indianapolis,8005 42nd St,0,4.0
260,February 17 2023,Mississippi,Coldwater,3196 Arkabutla Dam Road,6,0.0
261,February 17 2023,Georgia,Columbus,4499 Warm Springs Rd Connector,0,9.0
263,February 15 2023,Texas,El Paso,8401 Gateway Blvd W,1,3.0
264,February 14 2023,Pennsylvania,Pittsburgh,1101 N Murtland St,0,4.0
265,February 14 2023,New York,Buffalo,Crossman Ave and Heminway St,0,5.0
267,February 13 2023,Michigan,East Lansing,509 E Circle Dr,3,5.0
268,February 12 2023,Mississippi,Louisville,309 E John C Stennis Dr,1,5.0
269,February 10 2023,New York,Brooklyn,3222 Mermaid Ave,0,4.0
270,February 10 2023,New York,Bronx,631 E Tremont Ave,2,2.0
272,February 8 2023,Louisiana,New Orleans,Bullard Ave and Chef Menteur Hwy,2,4.0
273,February 8 2023,North Carolina,Elizabeth City,1000 block of Walker Ave,0,4.0
275,February 5 2023,Arizona,Tucson,4000 block of E Agate Knoll Dr,1,3.0
280,February 1 2023,California,Los Angeles,711 E. 108 St,0,5.0
282,January 31 2023,North Carolina,Durham,4100 block of Sudbury Rd,2,2.0
283,January 30 2023,Florida,Lakeland,923 N Iowa Ave,0,11.0
284,January 30 2023,Texas,Dallas,5800 block of Bonnie View Rd,1,3.0
285,January 29 2023,Tennessee,Luttrell,380 Clinch Valley Rd,4,0.0
286,January 29 2023,Ohio,Columbus,1680 Karl Ct,1,3.0
295,January 24 2023,North Carolina,Red Springs,100 block of Samuel Williams Dr,3,1.0
296,January 23 2023,Illinois,Chicago,2909 E 78th St,2,3.0
297,January 23 2023,California,Oakland,5910 MacArthur Blvd,1,4.0
299,January 22 2023,Mississippi,Robinsonville (Tunica Resorts),1010 Casino Center Dr,0,4.0
300,January 22 2023,Louisiana,Shreveport,1600 Sugar Ln,1,7.0
301,January 22 2023,Louisiana,Baton Rouge,4619 Bennington Ave,0,12.0
302,January 21 2023,California,Monterey Park,122 W Garvey Ave,11,9.0
303,January 21 2023,Arizona,Yuma,1300 block of W 9th St,0,5.0
304,January 17 2023,Texas,Houston,6729 Lockwood Dr,0,4.0
311,January 15 2023,Arizona,Phoenix,S 46th Pl and E Broadway Rd,0,4.0
312,January 14 2023,Missouri,Saint Louis (Moline Acres),Berwyn Dr and Lanier Dr,0,4.0
313,January 13 2023,Ohio,Cleveland,3719 Mack Ct,4,1.0
314,January 9 2023,Minnesota,Minneapolis,2218 E Lake St,0,4.0
316,January 9 2023,Colorado,Denver,18th St and Blake St,0,4.0
317,January 8 2023,Minnesota,Minneapolis,930 Hennepin Ave,0,4.0
318,January 8 2023,Georgia,Albany,1021 S McKinley St,0,4.0
319,January 7 2023,North Carolina,High Point,2734 Mossy Meadow Dr,4,0.0
323,January 5 2023,Louisiana,New Orleans,St Andrew St and Rev John Raphael Jr Way,2,3.0
325,January 4 2023,Utah,Cedar City (Enoch),4923 N Albert Dr,7,0.0
327,January 4 2023,Virginia,Dumfries,17900 block of Milroy Dr,1,4.0
329,January 3 2023,Louisiana,New Orleans,2600 block of S. Rocheblave St,0,5.0
330,January 1 2023,Florida,Ocala,1600 block of SW 5th St,2,4.0
331,January 1 2023,Illinois,Chicago,300 block of E 57th St,1,3.0
332,January 1 2023,Florida,Miami Gardens,NW 171st St and NW 30th Ave,0,9.0
333,January 1 2023,North Carolina,Durham,1000 N Miami Blvd,0,5.0
334,January 1 2023,Pennsylvania,Allentown,1140 E Clair St,0,4.0
336,December 31 2022,Alabama,Mobile,200 block of Dauphin St,1,7.0
337,December 31 2022,Arizona,Phoenix,4201 N 19th Ave,0,9.0
339,December 30 2022,Texas,Humble,4800 block of Park Square Ln,2,3.0
340,December 28 2022,New York,Bronx,851 E Tremont Ave,1,3.0
342,December 27 2022,District of Columbia,Washington,2300 block of Pennsylvania Ave SE,0,4.0
343,December 27 2022,Ohio,Columbus,900 block of Bellows Ave,0,5.0
345,December 26 2022,Louisiana,New Orleans,2031 St Maurice Ave,2,4.0
346,December 24 2022,Mississippi,Columbus,90 block of Luxapalila Dr,1,3.0
347,December 23 2022,Kansas,Wichita,900 block of S Mission Rd,2,2.0
351,December 17 2022,Georgia,Atlanta,3000 Continental Colony Pkwy SW,2,3.0
352,December 16 2022,Georgia,Valdosta,611 E Ann St,2,2.0
354,December 16 2022,Texas,Dallas,2691 John West Rd,0,5.0
355,December 16 2022,Tennessee,Memphis,831 Springdale Run Dr,0,5.0
359,December 9 2022,Arizona,Phoenix,S 21st and W Burgess LN,1,3.0
