,incident_date,state,city_or_county,address,killed,injured
753,May 29 2022,Oklahoma,Taft,104 Elm St,1,7.0
754,May 29 2022,Nevada,Henderson,I-11 and Horizon Dr,0,7.0
755,May 29 2022,Illinois,Chicago,4400 block of W Walton St,1,3.0
756,May 29 2022,Texas,Houston,11654 Walnut Dale Ct,0,4.0
757,May 29 2022,Arizona,Phoenix,N 58th St and W Windsor Ave,1,5.0
763,May 28 2022,California,Merced,2600 block of Cowden Ave,1,3.0
765,May 27 2022,Alabama,Anniston,1204 Front St,0,6.0
766,May 27 2022,Michigan,Stanwood,10711 185th Ave,4,0.0
767,May 25 2022,Pennsylvania,Philadelphia,3500 block of Fairmount Ave,0,4.0
768,May 24 2022,Texas,Uvalde,715 Old Carrizo Rd,21,17.0
770,May 23 2022,Ohio,Cleveland,1032 Hartley Rd,0,5.0
771,May 21 2022,Indiana,Goshen,1204 Rosemare Ct,1,3.0
772,May 21 2022,Washington,Tacoma,S Yakima Ave and S 56th St,0,4.0
773,May 20 2022,California,Highland,3606 Highland Ave,1,8.0
775,May 20 2022,Louisiana,New Orleans,St. Claude Ave and Forstall St,1,3.0
776,May 19 2022,Illinois,Chicago,800 block of N State St,2,7.0
777,May 18 2022,Pennsylvania,Philadelphia,1500 block of Bouvier St,0,5.0
781,May 15 2022,North Carolina,Elizabeth City,901 S Martin Luther King Jr Dr,0,4.0
782,May 15 2022,Texas,Houston,8729 Airline Dr,2,3.0
783,May 15 2022,Texas,Amarillo,1003 N Fillmore St,1,4.0
787,May 12 2022,Arkansas,Hot Springs National Park (Hot Springs),134 Convention Blvd,1,3.0
788,May 11 2022,Illinois,Chicago,6800 block of S Ashland Ave,0,4.0
791,May 11 2022,New Jersey,Paterson,36 Essex St,1,4.0
794,May 10 2022,Illinois,Chicago,6400 block of S Richards Dr,0,6.0
798,May 9 2022,Michigan,Detroit,12600 block of McCoy Cir,0,4.0
803,May 7 2022,Texas,Garland,800 block of Magnolia Dr,2,2.0
805,May 5 2022,Washington,Sunnyside,613 S 6th St,0,5.0
807,May 3 2022,Louisiana,Baton Rouge,2100 block of North 39th St,0,5.0
808,May 3 2022,Texas,Beaumont,3580 S Martin Luther King Jr Pkwy,0,5.0
809,May 1 2022,Louisiana,Lafayette,500 Jefferson St,0,11.0
810,May 1 2022,Ohio,Springfield,Clifton Ave and Rice St,1,4.0
811,May 1 2022,Florida,Tarpon Springs,Safford Ave and Boyer St,0,6.0
813,April 30 2022,Georgia,Atlanta,445 Cleveland Ave SE,0,4.0
814,April 30 2022,Mississippi,Jackson,1207 Mississippi Street,0,5.0
817,April 29 2022,Mississippi,Laurel,Ferrell St and Poplar Dr,0,4.0
818,April 28 2022,Alabama,Bessemer,1800 block of Berkley Ave,1,3.0
819,April 27 2022,Illinois,Chicago,4400 block of W Jackson Blvd,0,4.0
822,April 27 2022,Louisiana,Opelousas,700 block of Mia St,2,3.0
827,April 23 2022,Illinois,Chicago,2000 block of W 51st St,2,2.0
829,April 23 2022,Georgia,Atlanta,135 Andrew Young International Blvd NW,0,5.0
830,April 23 2022,California,San Bernardino,1036 W Highland Ave,1,4.0
831,April 22 2022,Virginia,Petersburg,200 block of Holly Hill Dr,1,5.0
832,April 22 2022,District of Columbia,Washington,2900 block of Van Ness St NW,0,4.0
836,April 17 2022,Pennsylvania,Philadelphia,2800 block of Orkney St,0,4.0
839,April 17 2022,California,Sacramento,7200 block of Franklin Blvd,1,3.0
840,April 17 2022,Florida,Miami,15020 South River Dr,1,3.0
841,April 17 2022,Pennsylvania,Pittsburgh,900B Madison Ave,2,9.0
844,April 16 2022,Maryland,Baltimore,5300 block of Maple Ave,1,3.0
845,April 16 2022,Nevada,North Las Vegas,4900 block of Support St,0,4.0
846,April 16 2022,Texas,Daingerfield,FM 144 and Edwards Rd,1,6.0
848,April 15 2022,California,Stockton,300 block of Coventry Dr,2,2.0
849,April 12 2022,New York,Brooklyn,36th St and 4th Ave,0,10.0
850,April 12 2022,New York,Bronx,2825 Olinville Ave,1,3.0
851,April 10 2022,Louisiana,Baton Rouge,2700 block of Lorraine St,0,4.0
852,April 10 2022,Iowa,Cedar Rapids,415 3rd St SE,3,9.0
853,April 10 2022,Illinois,Elgin,958 Congdon Ave,2,4.0
857,April 9 2022,District of Columbia,Washington,O St SW and Half St SW,0,4.0
859,April 4 2022,Kentucky,Covington,Russell St and W 16th St,0,4.0
861,April 3 2022,New York,Buffalo,400 block of Genesee St,0,4.0
862,April 3 2022,Texas,Dallas,5050 Cleveland Rd,1,16.0
863,April 3 2022,California,San Francisco,670 Brunswick St,2,2.0
866,April 2 2022,Louisiana,Monroe,100 Sterlington Rd,1,4.0
867,April 2 2022,Colorado,Colorado Springs,2400 block of Barkman Dr,0,4.0
868,April 2 2022,Louisiana,Shreveport,2025 Marshall St,1,3.0
869,April 1 2022,South Carolina,Walterboro,1900 Block of Logan Farm Rd,0,4.0
870,March 26 2022,California,Hollister,Rustic St and Roble St,2,3.0
872,March 25 2022,Colorado,Colorado Springs,820 Citadel Dr E,2,2.0
873,March 22 2022,California,Stockton,1800 West Lane,1,3.0
874,March 21 2022,Connecticut,Waterbury,23 Scovill St,0,4.0
876,March 20 2022,Wisconsin,Milwaukee,2822 W Melvina St,0,4.0
878,March 20 2022,Texas,Houston,2955 S Sam Houston Pkwy E,1,3.0
879,March 19 2022,Virginia,Norfolk,320 Granby St,3,2.0
880,March 19 2022,North Carolina,Fayetteville,1707 Owen Dr,3,3.0
882,March 19 2022,Virginia,Madison Heights,351 Old Wright Shop Rd,1,4.0
886,March 17 2022,Michigan,Lansing,2200 block of E Michigan Ave,0,4.0
888,March 17 2022,Florida,Fort Lauderdale,1300 W Broward Blvd,2,2.0
889,March 16 2022,New Jersey,Irvington,800 block of 18th Ave,1,3.0
890,March 16 2022,New Jersey,Irvington,862 18th Ave,1,3.0
891,March 15 2022,Alabama,Ozark,1001 US Hwy 231,0,5.0
894,March 13 2022,New York,Rochester,471 State St,2,2.0
895,March 13 2022,South Carolina,Columbia,810 Pulaski St,1,4.0
899,March 9 2022,Colorado,Aurora,3300 N Ouray St,1,3.0
900,March 8 2022,Florida,Jacksonville,Duval Station Rd and Starratt Rd,1,4.0
903,March 6 2022,Pennsylvania,Hazleton,182 S  Wyoming St,1,4.0
904,March 6 2022,Kentucky,Louisville,601 E Jefferson St,0,4.0
905,March 6 2022,Texas,Lubbock,1800 block of Parkway Dr,0,4.0
906,March 6 2022,South Carolina,Chester,Powell Dr and Harvey Neely Rd,2,3.0
909,March 5 2022,Georgia,Atlanta,I-75 and Arthur B. Langford Jr. Pkwy,0,4.0
910,March 3 2022,Nevada,Las Vegas,4055 S University Center Dr,1,6.0
913,February 27 2022,Louisiana,Alexandria,3700 block of 3rd St,0,4.0
914,February 26 2022,South Carolina,North Charleston,2622 S Allen Dr,1,3.0
915,February 26 2022,Nevada,Las Vegas,953 E Sahara Ave,1,13.0
916,February 26 2022,Louisiana,Bogalusa,E 4th St and Martin Luther King Jr Dr,0,9.0
918,February 24 2022,Texas,San Antonio,90 Lanark Dr,0,4.0
919,February 21 2022,Minnesota,Saint Paul,488 Humboldt Ave,1,3.0
920,February 20 2022,Iowa,Des Moines,100 block of Water St,0,4.0
921,February 20 2022,Nebraska,Omaha,1817 N 33rd St,0,4.0
922,February 20 2022,Oregon,Portland,SE Foster Rd and 128th Ave,1,3.0
923,February 20 2022,Mississippi,Mccomb,Minnesota Ave and 6th St,1,2.0
924,February 19 2022,Oregon,Portland,NE 55th Ave and NE Hassalo St,1,5.0
925,February 19 2022,Missouri,Charleston,106 S Franklin St,2,14.0
926,February 19 2022,California,Turlock,142 S 1st St,0,7.0
927,February 19 2022,North Carolina,Durham,1400 E Cornwallis Rd,2,2.0
930,February 17 2022,Texas,Houston,3000 Blodgett St,0,5.0
932,February 15 2022,Illinois,Joliet,700 block of Francis St,1,3.0
933,February 13 2022,Wisconsin,Racine,7th St and Park Ave,0,5.0
934,February 12 2022,Tennessee,Murfreesboro,1644 Middle Tennessee Blvd,1,4.0
936,February 12 2022,Arkansas,Little Rock,200 block of E 7th St,1,3.0
938,February 11 2022,Arizona,Phoenix,5405 W Warner St,1,9.0
943,February 5 2022,Texas,Corsicana,2919 W 2nd Ave,7,0.0
946,February 2 2022,California,Oroville,410 Oro Dam Blvd E,1,4.0
948,January 31 2022,North Carolina,Raleigh,3120 New Bern Ave,1,3.0
950,January 30 2022,Georgia,Augusta,2623 Deans Bridge Rd,1,3.0
951,January 29 2022,Missouri,Saint Louis,4900 block of Cote Brilliante,3,1.0
952,January 29 2022,Georgia,Atlanta,899 Martin Luther King Jr Dr NW,1,3.0
955,January 23 2022,California,Inglewood,1300 block of North Park Ave,4,1.0
956,January 23 2022,Wisconsin,Milwaukee,2505 N 21st St,6,0.0
957,January 19 2022,Maryland,Baltimore,E Monument St and N Montford Ave,3,1.0
960,January 17 2022,Texas,San Antonio,400 block of Spriggsdale Ave,1,4.0
962,January 15 2022,Tennessee,Knoxville,2700 block of Tarleton Ave,0,4.0
965,January 13 2022,New York,Brooklyn,1014 E 92nd St,1,3.0
967,January 9 2022,California,Fresno,724 E Olive Ave,0,4.0
968,January 9 2022,California,Los Angeles,W 35th St and S Hill St,1,4.0
971,January 8 2022,Texas,Houston,7136 Clarewood Dr,1,3.0
972,January 4 2022,Mississippi,Jackson,3207 W Capitol St,1,3.0
976,January 1 2022,Illinois,Peoria,2000 block of SW Adams St,2,2.0
977,January 1 2022,Pennsylvania,Philadelphia,1600 block of Cecil B Moore Ave,1,4.0
978,January 1 2022,Wisconsin,Kenosha,1708 52nd St,1,3.0
981,January 1 2022,Colorado,Denver,1919 Blake St,2,2.0
982,December 31 2021,Maryland,Capitol Heights,Cindy Ln,0,4.0
986,December 30 2021,Missouri,Kirksville,700 block of E Dodson St,2,2.0
987,December 27 2021,Colorado,Denver,56 Broadway,6,2.0
988,December 27 2021,Ohio,Youngstown,2626 Tyrell Ave,1,3.0
989,December 27 2021,Alabama,Mobile,3606 Moffett Rd,1,3.0
992,December 26 2021,Virginia,Clear Brook,I-81 S and Visitor Center Loop,1,4.0
995,December 25 2021,Louisiana,Lafayette,2100 block of NE Evangeline Thruway,0,4.0
997,December 24 2021,New York,Brooklyn,1031 Nostrand Ave,0,4.0
999,December 19 2021,Illinois,Lovejoy (Brooklyn),213 Madison St,1,3.0
1000,December 17 2021,Virginia,Portsmouth,4105 Portsmouth Blvd,0,4.0
1003,December 16 2021,Alabama,Troy,600 Block of Botts Ave,0,4.0
1008,December 12 2021,Florida,Tampa,Alaska Ave,0,5.0
1010,December 12 2021,Virginia,Woodbridge,13989 Jefferson Davis Hwy,0,4.0
1012,December 10 2021,Michigan,Lansing,Miller Rd and Cedar St,1,3.0
1013,December 10 2021,Florida,Orlando,Jefferson St and Garden Ave,0,5.0
1018,December 5 2021,Michigan,Detroit,5200 block of Marlborough St,2,2.0
1019,December 5 2021,Texas,El Paso,2910 Tularosa Ave,1,3.0
1021,December 2 2021,North Carolina,Elizabeth City,Perry St and Jordan St,3,3.0
1022,November 30 2021,Michigan,Oxford,745 N Oxford Rd,4,7.0
1023,November 30 2021,Georgia,Rex,3600 block of Jervis Court,4,2.0
1024,November 28 2021,Maryland,Baltimore,1300 block of North Montford Ave,0,7.0
1025,November 28 2021,Illinois,Evanston,1950 Green Bay Rd,1,4.0
1032,November 25 2021,South Carolina,Green Sea,Long Branch Swamp Rd,0,4.0
1035,November 22 2021,North Carolina,Warsaw,101 Matthews St,2,2.0
1038,November 20 2021,California,Fresno,3665 N Pleasant Ave,2,2.0
1039,November 20 2021,Illinois,Berwyn,6802 W 26th St,0,4.0
1040,November 18 2021,Maryland,Cambridge,700 block of Greenwood Ave,1,3.0
1042,November 17 2021,New York,Newburgh,William St and Carson Ave,0,4.0
1044,November 17 2021,Illinois,Chicago,1240 W Randolph St,0,4.0
1046,November 15 2021,Colorado,Aurora,1200 Nome St,0,6.0
1051,November 14 2021,Alabama,Troy,803 US-231 S,1,5.0
1053,November 13 2021,Louisiana,Houma,100 block of Emma St,0,4.0
1055,November 12 2021,Alabama,Birmingham,1100 block of 33rd St SW,2,2.0
1057,November 9 2021,Louisiana,Hahnville (Killona),160 Killona Dr,1,4.0
1064,November 6 2021,California,Highland,26998 3rd St,0,4.0
1068,November 2 2021,Alabama,Mobile,4120 Government Blvd,0,4.0
1071,October 31 2021,Kentucky,Louisville,6210 Shepherdsville Rd,2,2.0
1074,October 31 2021,Illinois,Flossmoor,3800 block of Ballantrae Way,1,3.0
1078,October 30 2021,Illinois,Decatur,1100 block of N Union St,0,4.0
1080,October 30 2021,California,Sacramento,5560 Palm Ave,2,5.0
1089,October 24 2021,Mississippi,Crenshaw,413 Jones St,2,3.0
1092,October 23 2021,Georgia,Fort Valley,603 Carver Dr,1,7.0
1093,October 22 2021,Illinois,Chicago,7901 S Cottage Grove Ave,0,5.0
1095,October 22 2021,Maryland,Baltimore,3100 block of W North Ave,0,7.0
1097,October 21 2021,Washington,Tacoma,4258 Everett St,4,0.0
1098,October 20 2021,Michigan,Farwell,9539 S Harrison Ave,4,0.0
1099,October 19 2021,Wisconsin,Kenosha,610 40th Pl,3,2.0
1100,October 17 2021,Louisiana,Grambling,403 Main St,1,7.0
1102,October 17 2021,Texas,Houston,1900 block of Dolly Wright St,0,7.0
1105,October 17 2021,Arkansas,Pine Bluff,820 S Main St,1,9.0
1108,October 16 2021,Texas,Killeen,308 S Second St,1,3.0
1109,October 15 2021,Alabama,Mobile,1621 Virginia St,0,5.0
1110,October 14 2021,Minnesota,Minneapolis,814 E Franklin Ave,1,4.0
1114,October 11 2021,Georgia,South Fulton,4900 Delano Rd,0,6.0
1116,October 10 2021,Iowa,Sioux City,427 Pierce St,0,4.0
1117,October 10 2021,Minnesota,Saint Paul,214 7th St W,1,15.0
1119,October 10 2021,Delaware,Dover,1500 block of Nathaniel Mitchell Rd,1,4.0
1125,October 8 2021,District of Columbia,Washington,1700 block of Independence Ave SE,1,3.0
1127,October 7 2021,Wisconsin,Milwaukee,W Cherry St and N 8th St,3,1.0
1133,October 6 2021,Ohio,Cleveland,9200 block of Marshall Ave,0,4.0
1136,October 5 2021,Illinois,Rockford,400 block of S Independence Ave,1,3.0
1137,October 4 2021,Minnesota,Minneapolis,626 W Broadway Ave,0,4.0
1138,October 3 2021,South Carolina,Bishopville,1113 Sumter Hwy,1,4.0
1140,October 2 2021,Colorado,Aurora,12230 E Colfax Ave,1,3.0
1143,September 29 2021,Illinois,Chicago,800 block of N Milwaukee Ave,0,5.0
1145,September 28 2021,Minnesota,Minneapolis,2700 block of Bloomington Ave,1,3.0
1146,September 27 2021,New York,New York (Manhattan),3964 10th Ave,0,5.0
1149,September 26 2021,California,Oakland,1400 block of 8th Ave,0,4.0
1150,September 26 2021,Washington,Seattle (Des Moines),22855 Pacific Hwy S,3,3.0
1153,September 25 2021,Tennessee,Chattanooga,1124 Grove St,2,5.0
1154,September 25 2021,California,Riverside,6000 Block of Mariposa Ave,0,6.0
1155,September 24 2021,South Carolina,Aiken,749 Silver Bluff Rd,4,1.0
1156,September 24 2021,California,Los Angeles,11600 block of Willowbrook Ave,0,4.0
1157,September 23 2021,Tennessee,Collierville,240 New Byhalia Rd,2,14.0
1160,September 21 2021,District of Columbia,Washington,2200 block of Alabama Ave SE,0,5.0
1161,September 20 2021,Pennsylvania,Philadelphia,Broad St and Chew Ave,1,5.0
1165,September 19 2021,Texas,Dallas,100 block of N Malcolm X Blvd,2,4.0
1166,September 19 2021,California,Oakland,300 block of 17th St,1,3.0
1167,September 19 2021,Illinois,Chicago,900 block of N Massasoit Ave,0,5.0
1168,September 19 2021,New York,Rochester,300 block of Driving Park Ave,2,2.0
1170,September 18 2021,Illinois,Danville,3164 E Main St,2,2.0
1171,September 18 2021,Louisiana,Opelousas,500 block of Sapphire St,0,5.0
1173,September 14 2021,Maryland,Baltimore,1700 block of N Milton Ave,0,4.0
1174,September 14 2021,Ohio,Cleveland,2747 Cedar Ave,0,6.0
1177,September 12 2021,Texas,Temple,900 block of S 24th St,0,4.0
1178,September 12 2021,Illinois,Blue Island,12200 block of S Irving Ave,2,2.0
1180,September 11 2021,Illinois,Chicago,300 block of E Kensington Ave,1,5.0
1181,September 11 2021,Alabama,Dothan,2000 Reeves St,0,5.0
1185,September 10 2021,Florida,Orlando,5526 S Orange Blossom Trl,0,4.0
1186,September 9 2021,Illinois,East Saint Louis,510 Martin Luther King Dr,0,7.0
1187,September 9 2021,Alabama,Montgomery,1800 block of Cotton Court,1,3.0
1190,September 7 2021,Kansas,Wichita,351 N Mosley St,1,5.0
1191,September 6 2021,Georgia,Atlanta,868 Joseph E Boone Blvd NW,0,5.0
1195,September 5 2021,Texas,Houston,7518 Imogene St,4,0.0
1196,September 5 2021,Georgia,Athens,E Clayton St and N Jackson St,0,6.0
1197,September 5 2021,Florida,Lakeland,N Socrum Loop Rd and Fulton Green Rd,4,2.0
1198,September 5 2021,Ohio,Cincinnati,6308 Corbly Rd,0,4.0
1199,September 4 2021,Louisiana,Monroe,1600 block of Winnsboro Rd,1,3.0
1200,September 4 2021,Alabama,Birmingham,9164 Parkway E,2,2.0
1201,September 4 2021,Georgia,Warner Robins,Mauldon Ct and Dunmurry Pl,1,4.0
1204,September 4 2021,Illinois,Chicago,1400 block of S Tripp Ave,0,5.0
1206,September 3 2021,New York,Syracuse,Nelson St and W Marcellus St,0,4.0
1207,September 3 2021,Louisiana,New Iberia,927 S Lewis St,1,3.0
1210,August 30 2021,Illinois,Normal,2000 block of Lambert Dr,3,3.0
1211,August 29 2021,Tennessee,Nashville,2621 Jefferson St,0,5.0
1212,August 29 2021,Nevada,Las Vegas,1700 block of S Rainbow Blvd,1,3.0
1214,August 28 2021,New York,Albany,Sherman St and Henry Johnson Blvd,0,5.0
1215,August 28 2021,California,San Diego,3100 block of Mission Blvd,0,4.0
1217,August 27 2021,West Virginia,Huntington,300 block of Oney Ave,2,2.0
1218,August 27 2021,California,Los Angeles,8400 block of Fountain Ave,0,4.0
1220,August 23 2021,Illinois,Chicago,W Wilson Ave and N Sheridan Rd,0,4.0
1221,August 22 2021,Illinois,Chicago,3400 block of W Lake St,1,4.0
1225,August 22 2021,Michigan,Grand Rapids,1500 block of Linden Ave SE,1,3.0
1226,August 21 2021,Illinois,Chicago,3500 block of W Walnut St,0,4.0
1228,August 20 2021,Michigan,Flint,2905 Saginaw St,1,3.0
1229,August 19 2021,Illinois,Chicago,300 block of E 47th St,0,4.0
1231,August 19 2021,Maryland,Edgewood,1700 block of Crimson Tree Way,1,3.0
1236,August 17 2021,New York,Brooklyn,422 Mother Gaston Blvd,0,5.0
1239,August 15 2021,Texas,San Antonio,1621 S New Braunfels Ave,3,2.0
1240,August 15 2021,Illinois,Chicago,1300 block of E 75th St,0,4.0
1242,August 14 2021,New York,Brooklyn,Lexington Ave and Marcy Ave,0,4.0
1243,August 14 2021,Ohio,Akron,271 Maiden Ln,0,5.0
1244,August 14 2021,Indiana,Indianapolis,Lafayette Rd and W 38th St,1,4.0
1246,August 14 2021,Texas,Wichita Falls,2406 Sheppard Access Rd,0,4.0
1247,August 13 2021,Nevada,Las Vegas,3100 block of E Sunset Rd,1,6.0
1248,August 11 2021,Pennsylvania,Philadelphia,5500 Rising Sun Ave,1,4.0
1250,August 10 2021,Mississippi,Clarksdale,2,2,
1254,August 8 2021,Illinois,Chicago,8300 block of S Halsted St,1,4.0
1256,August 8 2021,District of Columbia,Washington,3600 block of New York Ave NE,0,4.0
1257,August 8 2021,Illinois,Chicago,1800 block of W 87th St,1,6.0
1258,August 8 2021,Louisiana,New Orleans,700 block of Bourbon St,0,5.0
1259,August 7 2021,Alabama,Montgomery,200 block of John Morris Ave,0,4.0
1261,August 7 2021,Virginia,Norfolk,700 block of Granby St,0,4.0
1262,August 6 2021,Tennessee,Nashville,1000 block of 43rd Ave North,0,4.0
1263,August 4 2021,Pennsylvania,Philadelphia,3653 Germantown Ave,0,4.0
1269,August 1 2021,Rhode Island,Providence,77 Reservoir Ave,0,5.0
1270,August 1 2021,Louisiana,New Orleans,Bourbon St and Orleans Ave,0,5.0
1275,July 31 2021,New York,Corona (Queens),97-07 37th Ave,0,10.0
1276,July 31 2021,Ohio,Cleveland,3100 block of W 25th St,0,5.0
1277,July 31 2021,Kentucky,Lexington,414 East 5th St,0,5.0
1280,July 28 2021,District of Columbia,Washington,3400 block of 22nd St SE,0,4.0
1282,July 28 2021,South Carolina,Charleston,Hanover St and Johnson St,1,4.0
1284,July 25 2021,California,Wasco,1718 1st St,5,1.0
1286,July 25 2021,Washington,Seattle,100 block of Occidental Ave S,2,3.0
1287,July 24 2021,Ohio,Columbus,N High St and E 4th Ave,0,4.0
1288,July 24 2021,Texas,Amarillo,1306 NE 3rd Ave,0,6.0
1289,July 24 2021,Georgia,Macon,Cherry St and Martin Luther King Jr Blvd,2,3.0
1290,July 23 2021,South Carolina,Spartanburg,151 Palisade St,2,2.0
1291,July 23 2021,South Carolina,Darlington,505 Oleander Dr,0,4.0
1293,July 22 2021,Texas,Houston,9717 N Houston Rosslyn Rd,1,5.0
1295,July 21 2021,Illinois,Chicago,3300 block of W Douglas Blvd,2,3.0
1298,July 20 2021,Texas,Jacksonville,16241 TX-110,4,0.0
1302,July 18 2021,Florida,Gainesville,1634 NE 8th Ave,1,4.0
1306,July 18 2021,California,Walnut Creek,SOS Dr and San Luis Rd,1,3.0
1307,July 17 2021,Oregon,Portland,300 block of SW 3rd Ave,1,6.0
1308,July 17 2021,Illinois,Chicago,5006 W Ohio St,0,6.0
1312,July 16 2021,South Carolina,Greenville,840 Mauldin Rd,1,3.0
1314,July 16 2021,Illinois,Chicago,647 N Lockwood Ave,1,4.0
1318,July 14 2021,Illinois,Chicago,4600 block of W Monroe St,0,5.0
1320,July 14 2021,Delaware,Claymont,50 block of Balfour Ave,2,2.0
1322,July 13 2021,Michigan,Detroit,9855 Chalmers St,1,6.0
1325,July 12 2021,New York,Corona (Queens),180th St and 145th Dr,0,4.0
1328,July 10 2021,Massachusetts,Boston,34 Cameron St,0,4.0
1330,July 9 2021,California,Los Angeles,7114 W Manchester Ave,0,4.0
1332,July 5 2021,Ohio,Toledo,Lawrence Ave and Wall St,1,11.0
1337,July 4 2021,Ohio,Cleveland,Kinsman Rd and E 139th St,0,4.0
1338,July 4 2021,Illinois,Peoria,600 block of Haungs Ave,1,3.0
1339,July 4 2021,Nevada,North Las Vegas,1200 block of W Helen Ave,2,7.0
1342,July 4 2021,Texas,Dallas,8200 block of Towns St,3,3.0
1343,July 4 2021,Missouri,Kansas City,E 43rd St and Indiana Ave,0,4.0
1344,July 4 2021,Texas,Dallas,3700 Dixon Ave,0,5.0
1345,July 4 2021,Texas,Fort Worth,3400 block of Horne St,0,8.0
1346,July 4 2021,Illinois,Rantoul,400 block of S Maplewood Dr,0,5.0
1348,July 3 2021,Pennsylvania,Lancaster,50 block of W Orange St,0,4.0
1349,July 3 2021,Georgia,Swainsboro,229 S Main St,1,3.0
1351,July 2 2021,Virginia,Norfolk,923 Madison Ave,0,4.0
1352,July 2 2021,Pennsylvania,Philadelphia,7700 block of Ogontz Ave,1,4.0
1353,July 2 2021,Illinois,Champaign,704 N Hickory St,1,4.0
1354,July 1 2021,Illinois,Chicago,6500 block of S Halsted St,0,7.0
1355,July 1 2021,South Carolina,Spartanburg,225 Amelia St,2,4.0
1357,June 30 2021,Illinois,Chicago,2200 block of S Millard Ave,0,4.0
1359,June 30 2021,Delaware,Dover,100 block of S New St,1,3.0
1360,June 30 2021,Texas,Houston,12101 Fondren Rd,3,1.0
1361,June 27 2021,Illinois,Chicago,2000 block of E 71st St,1,5.0
1362,June 27 2021,Illinois,Saint Charles,2051 Lincoln Hwy,1,3.0
1364,June 27 2021,Tennessee,Memphis,2500 block of Dunn Ave,3,1.0
1366,June 26 2021,Texas,Houston,4902 Laura Koppe Rd,1,3.0
1367,June 26 2021,Illinois,Chicago,6100 block of N McCormick Blvd,1,3.0
1368,June 26 2021,Alabama,Fort Deposit,Forest Dr,1,3.0
1369,June 25 2021,Ohio,Columbus,I-670 and Neil Ave,0,4.0
1371,June 25 2021,New York,Bronx,Zerega Ave and Watson Ave,0,5.0
1373,June 23 2021,Alabama,Montgomery,100 block of Rotary St,2,2.0
1378,June 21 2021,District of Columbia,Washington,300 block of 50th St NE,0,4.0
1380,June 20 2021,California,Richmond,2108 Dunn Ave,3,5.0
1383,June 20 2021,Texas,Dallas,4619 E. R L Thornton Freeway,0,8.0
1384,June 20 2021,Indiana,Granger,7321 Heritage Square Dr,1,4.0
1386,June 20 2021,Ohio,Cincinnati,3000 block of Borden St,1,3.0
1388,June 19 2021,Louisiana,Baton Rouge,7132 Florida Blvd,2,4.0
1392,June 17 2021,Virginia,Petersburg,Virginia Ave and Melville St,0,4.0
1394,June 17 2021,Ohio,Cincinnati,3056 Mathers St,1,3.0
1396,June 16 2021,Maryland,Baltimore,2100 block of West Lexington St,1,5.0
1397,June 15 2021,Illinois,Chicago,3800 block of W Monroe,0,5.0
1398,June 15 2021,Illinois,Chicago,6221 S Morgan St,5,3.0
1401,June 14 2021,Florida,Boynton Beach,I-95,1,3.0
1407,June 12 2021,Illinois,Chicago,7500 block of S Prairie Ave,1,9.0
1408,June 12 2021,Ohio,Cleveland,8805 Buckeye Rd,3,4.0
1409,June 11 2021,Washington,Seattle (White Center),9808 16th Ave SW,2,2.0
1410,June 11 2021,Georgia,Savannah,200 block of Avery St,2,6.0
1412,June 11 2021,Texas,Dallas,378 N Jim Miller Rd,0,5.0
1414,June 10 2021,New York,Yonkers,150 Elm St,0,4.0
1419,June 7 2021,Florida,Homestead,12550 SW 282nd St,3,3.0
1420,June 6 2021,Utah,Salt Lake City,1359 N General Dr,1,4.0
1421,June 6 2021,Missouri,Saint Louis,100 N 7th St,0,4.0
1422,June 6 2021,North Carolina,Snow Hill,50 block of Katie Ct,0,4.0
1423,June 6 2021,Ohio,Cleveland,3700 block of Woodbridge Ave,0,8.0
1425,June 6 2021,California,Oakland,5100 block of Ygnacio Ave,0,5.0
1426,June 6 2021,Illinois,Chicago,8900 block of S Cottage Grove Ave,0,8.0
1427,June 5 2021,Louisiana,New Orleans,10150 I-10 Service Rd,0,9.0
1429,June 4 2021,Michigan,Muskegon,1675 E. Sherman Blvd,1,3.0
1431,June 2 2021,Arkansas,Magnolia,Calhoun Rd,0,4.0
1432,June 2 2021,Ohio,Springfield,1935 S Yellow Springs St,0,6.0
1433,May 31 2021,New York,Brooklyn,Knickerbocker Ave,0,4.0
1437,May 30 2021,Florida,Hialeah,7630 NW 186th St,3,20.0
1438,May 30 2021,Illinois,Chicago,6718 S Stony Island Ave,0,4.0
1439,May 29 2021,Texas,San Antonio,3300 block of Fallen Leaf Ln,2,2.0
1440,May 29 2021,Missouri,Saint Louis,10466 W Florissant Ave,1,3.0
1442,May 27 2021,North Carolina,Durham,1200 block of Fayetteville St,0,5.0
1443,May 26 2021,Illinois,Chicago,7200 block of S Princeton Ave,0,4.0
1444,May 26 2021,California,San Jose,101 W Younger Ave,10,0.0
1448,May 23 2021,New York,Bay Shore,135 S Clinton Ave,0,4.0
1452,May 22 2021,Ohio,Columbus,233 S Civic Center Dr,1,5.0
1455,May 22 2021,Indiana,Fort Wayne,2177 Eden St,1,4.0
1456,May 22 2021,New Jersey,Bridgeton,1029 E Commerce St,3,11.0
1458,May 21 2021,New York,Albany,1st St and Quail St,1,5.0
1459,May 20 2021,Indiana,Evansville,800 block of Shadewood Ave,0,4.0
1460,May 18 2021,California,Oakland,I-580 and Seminary Ave,2,5.0
1462,May 16 2021,Ohio,Cincinnati,7751 Reading Rd,1,3.0
1463,May 16 2021,Georgia,Atlanta,630 Travis St NW,0,4.0
